"trade","level","em_wanted1","num_em_want_low1","num_em_want_high1","item_wanted1","num_item_want1","em_given1","num_em_given1","item_given1","num_item_given1","trades_in_stock1","price_multiplier1","villager_xp1","em_wanted2","num_em_want_low2","num_em_want_high2","item_wanted2","num_item_want2","em_given2","num_em_given2","item_given2","num_item_given2","trades_in_stock2","price_multiplier2","villager_xp2","em_wanted3","num_em_want_low3","num_em_want_high3","item_wanted3","num_item_want3","em_given3","num_em_given3","item_given3","num_item_given3","trades_in_stock3","price_multiplier3","villager_xp3","em_wanted4","num_em_want_low4","num_em_want_high4","item_wanted4","num_item_want4","em_given4","num_em_given4","item_given4","num_item_given4","trades_in_stock4","price_multiplier4","villager_xp4","em_wanted5","num_em_want_low5","num_em_want_high5","item_wanted5","num_item_want5","em_given5","num_em_given5","item_given5","num_item_given5","trades_in_stock5","price_multiplier5","villager_xp5","em_wanted6","num_em_want_low6","num_em_want_high6","item_wanted6","num_item_want6","em_given6","num_em_given6","item_given6","num_item_given6","trades_in_stock6","price_multiplier6","villager_xp6","em_wanted7","num_em_want_low7","num_em_want_high7","item_wanted7","num_item_want7","em_given7","num_em_given7","item_given7","num_item_given7","trades_in_stock7","price_multiplier7","villager_xp7","em_wanted8","num_em_want_low8","num_em_want_high8","item_wanted8","num_item_want8","em_given8","num_em_given8","item_given8","num_item_given8","trades_in_stock8","price_multiplier8","villager_xp8","em_wanted9","num_em_want_low9","num_em_want_high9","item_wanted9","num_item_want9","em_given9","num_em_given9","item_given9","num_item_given9","trades_in_stock9","price_multiplier9","villager_xp9","em_wanted10","num_em_want_low10","num_em_want_high10","item_wanted10","num_item_want10","em_given10","num_em_given10","item_given10","num_item_given10","trades_in_stock10","price_multiplier10","villager_xp10"
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Master","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15","TRUE","8","8",NA,NA,"FALSE",NA,"Globe Banner Pattern","1","12","Low","30"
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Journeyman","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Apprentice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Apprentice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Apprentice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Novice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Master","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15","TRUE","8","8",NA,NA,"FALSE",NA,"Globe Banner Pattern","1","12","Low","30"
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Master","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15","TRUE","8","8",NA,NA,"FALSE",NA,"Globe Banner Pattern","1","12","Low","30"
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Novice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Novice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Novice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Apprentice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Journeyman","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Master","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15","TRUE","8","8",NA,NA,"FALSE",NA,"Globe Banner Pattern","1","12","Low","30"
"Cartographer","Apprentice","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Journeyman","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Master","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15","TRUE","8","8",NA,NA,"FALSE",NA,"Globe Banner Pattern","1","12","Low","30"
"Cartographer","Journeyman","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Expert","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartographer","Master","FALSE",NA,NA,"Paper","24","TRUE","1",NA,NA,"16","Low","2","TRUE","7","7",NA,NA,"FALSE",NA,"Empty Map","1","12","Low","1","FALSE",NA,NA,"Glass Pane","11","TRUE","1",NA,NA,"16","Low","10","TRUE","13","13","Compass","1","FALSE",NA,"Ocean Explorer Map",NA,"12","High","5","FALSE",NA,NA,"Compass","1","TRUE","1",NA,NA,"12","Low","20","TRUE","14","14","Compass","1","FALSE",NA,"Woodland Explorer Map",NA,"12","High","10","TRUE","12","12","Compass","1","FALSE",NA,"Trial Explorer Map",NA,"12","High","10","TRUE","7","7",NA,NA,"FALSE",NA,"Item Frame","1","12","Low","15","TRUE","3","3",NA,NA,"FALSE",NA,"Any color Banner","1","12","Low","15","TRUE","8","8",NA,NA,"FALSE",NA,"Globe Banner Pattern","1","12","Low","30"
